,chr,start,end,saf,gene_name,SAF_stratified_label
3,chr1,2800000,3000000,0.1195,,Medium_SAF
4,chr1,2800000,3000000,0.1195,,Medium_SAF
5,chr1,2800000,3000000,0.1195,,Medium_SAF
9,chr1,3200000,3400000,0.1455,,Medium_SAF
10,chr1,3200000,3400000,0.1455,,Medium_SAF
11,chr1,3200000,3400000,0.1455,,Medium_SAF
15,chr1,4000000,4200000,0.0595,,Medium_SAF
16,chr1,4000000,4200000,0.0595,,Medium_SAF
17,chr1,4000000,4200000,0.0595,,Medium_SAF
21,chr1,4200000,4400000,0.0705,,Medium_SAF
22,chr1,4200000,4400000,0.0705,,Medium_SAF
23,chr1,4200000,4400000,0.0705,,Medium_SAF
27,chr1,4800000,5000000,0.049,,Medium_SAF
28,chr1,4800000,5000000,0.049,,Medium_SAF
29,chr1,4800000,5000000,0.049,,Medium_SAF
33,chr1,5000000,5200000,0.0495,,Medium_SAF
34,chr1,5000000,5200000,0.0495,,Medium_SAF
35,chr1,5000000,5200000,0.0495,,Medium_SAF
39,chr1,5200000,5400000,0.0445,,Medium_SAF
40,chr1,5200000,5400000,0.0445,,Medium_SAF
41,chr1,5200000,5400000,0.0445,,Medium_SAF
45,chr1,5400000,5600000,0.046,,Medium_SAF
46,chr1,5400000,5600000,0.046,,Medium_SAF
47,chr1,5400000,5600000,0.046,,Medium_SAF
51,chr1,5600000,5800000,0.0465,,Medium_SAF
52,chr1,5600000,5800000,0.0465,,Medium_SAF
53,chr1,5600000,5800000,0.0465,,Medium_SAF
57,chr1,6800000,7000000,0.1835,,Medium_SAF
58,chr1,6800000,7000000,0.1835,,Medium_SAF
59,chr1,6800000,7000000,0.1835,,Medium_SAF
63,chr1,7000000,7200000,0.161,,Medium_SAF
64,chr1,7000000,7200000,0.161,,Medium_SAF
65,chr1,7000000,7200000,0.161,,Medium_SAF
69,chr1,7400000,7600000,0.1955,,High_SAF
70,chr1,7400000,7600000,0.1955,,High_SAF
71,chr1,7400000,7600000,0.1955,,High_SAF
75,chr1,12400000,12600000,0.1575,,Medium_SAF
76,chr1,12400000,12600000,0.1575,,Medium_SAF
77,chr1,12400000,12600000,0.1575,,Medium_SAF
81,chr1,13000000,13200000,0.073,,Medium_SAF
82,chr1,13000000,13200000,0.073,,Medium_SAF
83,chr1,13000000,13200000,0.073,,Medium_SAF
87,chr1,14000000,14200000,0.056,,Medium_SAF
88,chr1,14000000,14200000,0.056,,Medium_SAF
89,chr1,14000000,14200000,0.056,,Medium_SAF
93,chr1,14200000,14400000,0.068,,Medium_SAF
94,chr1,14200000,14400000,0.068,,Medium_SAF
95,chr1,14200000,14400000,0.068,,Medium_SAF
99,chr1,14600000,14800000,0.07,,Medium_SAF
100,chr1,14600000,14800000,0.07,,Medium_SAF
101,chr1,14600000,14800000,0.07,,Medium_SAF
105,chr1,14800000,15000000,0.1105,,Medium_SAF
106,chr1,14800000,15000000,0.1105,,Medium_SAF
107,chr1,14800000,15000000,0.1105,,Medium_SAF
111,chr1,17800000,18000000,0.1235,,Medium_SAF
112,chr1,17800000,18000000,0.1235,,Medium_SAF
113,chr1,17800000,18000000,0.1235,,Medium_SAF
117,chr1,18200000,18400000,0.0885,,Medium_SAF
118,chr1,18200000,18400000,0.0885,,Medium_SAF
119,chr1,18200000,18400000,0.0885,,Medium_SAF
123,chr1,20800000,21000000,0.4825,,High_SAF
124,chr1,20800000,21000000,0.4825,,High_SAF
125,chr1,20800000,21000000,0.4825,,High_SAF
129,chr1,22200000,22400000,0.5175,,High_SAF
130,chr1,22200000,22400000,0.5175,,High_SAF
131,chr1,22200000,22400000,0.5175,,High_SAF
135,chr1,22800000,23000000,0.553,,High_SAF
136,chr1,22800000,23000000,0.553,,High_SAF
137,chr1,22800000,23000000,0.553,,High_SAF
141,chr1,29400000,29600000,0.06,,Medium_SAF
142,chr1,29400000,29600000,0.06,,Medium_SAF
143,chr1,29400000,29600000,0.06,,Medium_SAF
147,chr1,29600000,29800000,0.094,,Medium_SAF
148,chr1,29600000,29800000,0.094,,Medium_SAF
149,chr1,29600000,29800000,0.094,,Medium_SAF
153,chr1,29800000,30000000,0.069,,Medium_SAF
154,chr1,29800000,30000000,0.069,,Medium_SAF
155,chr1,29800000,30000000,0.069,,Medium_SAF
159,chr1,30000000,30200000,0.067,,Medium_SAF
160,chr1,30000000,30200000,0.067,,Medium_SAF
161,chr1,30000000,30200000,0.067,,Medium_SAF
165,chr1,30200000,30400000,0.068,,Medium_SAF
166,chr1,30200000,30400000,0.068,,Medium_SAF
167,chr1,30200000,30400000,0.068,,Medium_SAF
171,chr1,30400000,30600000,0.076,,Medium_SAF
172,chr1,30400000,30600000,0.076,,Medium_SAF
173,chr1,30400000,30600000,0.076,,Medium_SAF
177,chr1,33600000,33800000,0.096,,Medium_SAF
178,chr1,33600000,33800000,0.096,,Medium_SAF
179,chr1,33600000,33800000,0.096,,Medium_SAF
183,chr1,34200000,34400000,0.0695,,Medium_SAF
184,chr1,34200000,34400000,0.0695,,Medium_SAF
185,chr1,34200000,34400000,0.0695,,Medium_SAF
189,chr1,34400000,34600000,0.0695,,Medium_SAF
190,chr1,34400000,34600000,0.0695,,Medium_SAF
191,chr1,34400000,34600000,0.0695,,Medium_SAF
195,chr1,36600000,36800000,0.067,,Medium_SAF
196,chr1,36600000,36800000,0.067,,Medium_SAF
197,chr1,36600000,36800000,0.067,,Medium_SAF
201,chr1,36800000,37000000,0.068,,Medium_SAF
202,chr1,36800000,37000000,0.068,,Medium_SAF
203,chr1,36800000,37000000,0.068,,Medium_SAF
207,chr1,38200000,38400000,0.065,,Medium_SAF
208,chr1,38200000,38400000,0.065,,Medium_SAF
209,chr1,38200000,38400000,0.065,,Medium_SAF
210,chr1,38200000,38400000,0.065,,Medium_SAF
211,chr1,38200000,38400000,0.065,,Medium_SAF
212,chr1,38200000,38400000,0.065,,Medium_SAF
216,chr1,39200000,39400000,0.2485,,High_SAF
217,chr1,39200000,39400000,0.2485,,High_SAF
218,chr1,39200000,39400000,0.2485,,High_SAF
222,chr1,41200000,41400000,0.268,,High_SAF
223,chr1,41200000,41400000,0.268,,High_SAF
224,chr1,41200000,41400000,0.268,,High_SAF
228,chr1,41800000,42000000,0.236,,High_SAF
229,chr1,41800000,42000000,0.236,,High_SAF
230,chr1,41800000,42000000,0.236,,High_SAF
234,chr1,47600000,47800000,0.0755,,Medium_SAF
235,chr1,47600000,47800000,0.0755,,Medium_SAF
236,chr1,47600000,47800000,0.0755,,Medium_SAF
240,chr1,48000000,48200000,0.0605,,Medium_SAF
241,chr1,48000000,48200000,0.0605,,Medium_SAF
242,chr1,48000000,48200000,0.0605,,Medium_SAF
246,chr1,48800000,49000000,0.0535,,Medium_SAF
247,chr1,48800000,49000000,0.0535,,Medium_SAF
248,chr1,48800000,49000000,0.0535,,Medium_SAF
252,chr1,49000000,49200000,0.047,,Medium_SAF
253,chr1,49000000,49200000,0.047,,Medium_SAF
254,chr1,49000000,49200000,0.047,,Medium_SAF
258,chr1,49200000,49400000,0.0475,,Medium_SAF
259,chr1,49200000,49400000,0.0475,,Medium_SAF
260,chr1,49200000,49400000,0.0475,,Medium_SAF
264,chr1,49400000,49600000,0.0545,,Medium_SAF
265,chr1,49400000,49600000,0.0545,,Medium_SAF
266,chr1,49400000,49600000,0.0545,,Medium_SAF
270,chr1,49600000,49800000,0.0565,,Medium_SAF
271,chr1,49600000,49800000,0.0565,,Medium_SAF
272,chr1,49600000,49800000,0.0565,,Medium_SAF
276,chr1,49800000,50000000,0.054,,Medium_SAF
277,chr1,49800000,50000000,0.054,,Medium_SAF
278,chr1,49800000,50000000,0.054,,Medium_SAF
282,chr1,53600000,53800000,0.3965,,High_SAF
283,chr1,53600000,53800000,0.3965,,High_SAF
284,chr1,53600000,53800000,0.3965,,High_SAF
288,chr1,55400000,55600000,0.1075,,Medium_SAF
289,chr1,55400000,55600000,0.1075,,Medium_SAF
290,chr1,55400000,55600000,0.1075,,Medium_SAF
294,chr1,55600000,55800000,0.0935,,Medium_SAF
295,chr1,55600000,55800000,0.0935,,Medium_SAF
296,chr1,55600000,55800000,0.0935,,Medium_SAF
300,chr1,55800000,56000000,0.0705,,Medium_SAF
301,chr1,55800000,56000000,0.0705,,Medium_SAF
302,chr1,55800000,56000000,0.0705,,Medium_SAF
306,chr1,56000000,56200000,0.069,,Medium_SAF
307,chr1,56000000,56200000,0.069,,Medium_SAF
308,chr1,56000000,56200000,0.069,,Medium_SAF
312,chr1,56200000,56400000,0.0485,,Medium_SAF
313,chr1,56200000,56400000,0.0485,,Medium_SAF
314,chr1,56200000,56400000,0.0485,,Medium_SAF
318,chr1,57000000,57200000,0.036,,Low_SAF
319,chr1,57000000,57200000,0.036,,Low_SAF
320,chr1,57000000,57200000,0.036,,Low_SAF
324,chr1,57400000,57600000,0.041,,Low_SAF
325,chr1,57400000,57600000,0.041,,Low_SAF
326,chr1,57400000,57600000,0.041,,Low_SAF
330,chr1,57600000,57800000,0.0395,,Low_SAF
331,chr1,57600000,57800000,0.0395,,Low_SAF
332,chr1,57600000,57800000,0.0395,,Low_SAF
336,chr1,58200000,58400000,0.049,,Medium_SAF
337,chr1,58200000,58400000,0.049,,Medium_SAF
338,chr1,58200000,58400000,0.049,,Medium_SAF
342,chr1,58800000,59000000,0.1445,,Medium_SAF
343,chr1,58800000,59000000,0.1445,,Medium_SAF
344,chr1,58800000,59000000,0.1445,,Medium_SAF
348,chr1,59400000,59600000,0.1405,,Medium_SAF
349,chr1,59400000,59600000,0.1405,,Medium_SAF
350,chr1,59400000,59600000,0.1405,,Medium_SAF
354,chr1,59600000,59800000,0.116,,Medium_SAF
355,chr1,59600000,59800000,0.116,,Medium_SAF
356,chr1,59600000,59800000,0.116,,Medium_SAF
360,chr1,60200000,60400000,0.0395,,Low_SAF
361,chr1,60200000,60400000,0.0395,,Low_SAF
362,chr1,60200000,60400000,0.0395,,Low_SAF
366,chr1,60400000,60600000,0.034,,Low_SAF
367,chr1,60400000,60600000,0.034,,Low_SAF
368,chr1,60400000,60600000,0.034,,Low_SAF
372,chr1,61000000,61200000,0.0525,,Medium_SAF
373,chr1,61000000,61200000,0.0525,,Medium_SAF
374,chr1,61000000,61200000,0.0525,,Medium_SAF
378,chr1,61400000,61600000,0.0565,,Medium_SAF
379,chr1,61400000,61600000,0.0565,,Medium_SAF
380,chr1,61400000,61600000,0.0565,,Medium_SAF
384,chr1,61800000,62000000,0.047,,Medium_SAF
385,chr1,61800000,62000000,0.047,,Medium_SAF
386,chr1,61800000,62000000,0.047,,Medium_SAF
387,chr1,61800000,62000000,0.047,,Medium_SAF
388,chr1,61800000,62000000,0.047,,Medium_SAF
389,chr1,61800000,62000000,0.047,,Medium_SAF
393,chr1,62800000,63000000,0.0435,,Medium_SAF
394,chr1,62800000,63000000,0.0435,,Medium_SAF
395,chr1,62800000,63000000,0.0435,,Medium_SAF
399,chr1,63000000,63200000,0.0335,,Low_SAF
400,chr1,63000000,63200000,0.0335,,Low_SAF
401,chr1,63000000,63200000,0.0335,,Low_SAF
405,chr1,64000000,64200000,0.099,,Medium_SAF
406,chr1,64000000,64200000,0.099,,Medium_SAF
407,chr1,64000000,64200000,0.099,,Medium_SAF
411,chr1,65800000,66000000,0.0965,,Medium_SAF
412,chr1,65800000,66000000,0.0965,,Medium_SAF
413,chr1,65800000,66000000,0.0965,,Medium_SAF
417,chr1,66000000,66200000,0.0735,,Medium_SAF
418,chr1,66000000,66200000,0.0735,,Medium_SAF
419,chr1,66000000,66200000,0.0735,,Medium_SAF
423,chr1,66200000,66400000,0.1035,,Medium_SAF
424,chr1,66200000,66400000,0.1035,,Medium_SAF
425,chr1,66200000,66400000,0.1035,,Medium_SAF
429,chr1,68600000,68800000,0.0455,,Medium_SAF
430,chr1,68600000,68800000,0.0455,,Medium_SAF
431,chr1,68600000,68800000,0.0455,,Medium_SAF
435,chr1,68800000,69000000,0.0515,,Medium_SAF
436,chr1,68800000,69000000,0.0515,,Medium_SAF
437,chr1,68800000,69000000,0.0515,,Medium_SAF
441,chr1,69200000,69400000,0.0445,,Medium_SAF
442,chr1,69200000,69400000,0.0445,,Medium_SAF
443,chr1,69200000,69400000,0.0445,,Medium_SAF
447,chr1,69600000,69800000,0.052,,Medium_SAF
448,chr1,69600000,69800000,0.052,,Medium_SAF
449,chr1,69600000,69800000,0.052,,Medium_SAF
453,chr1,69800000,70000000,0.048,,Medium_SAF
454,chr1,69800000,70000000,0.048,,Medium_SAF
455,chr1,69800000,70000000,0.048,,Medium_SAF
459,chr1,70000000,70200000,0.057,,Medium_SAF
460,chr1,70000000,70200000,0.057,,Medium_SAF
461,chr1,70000000,70200000,0.057,,Medium_SAF
465,chr1,70600000,70800000,0.061,,Medium_SAF
466,chr1,70600000,70800000,0.061,,Medium_SAF
467,chr1,70600000,70800000,0.061,,Medium_SAF
471,chr1,70800000,71000000,0.06,,Medium_SAF
472,chr1,70800000,71000000,0.06,,Medium_SAF
473,chr1,70800000,71000000,0.06,,Medium_SAF
477,chr1,71200000,71400000,0.0625,,Medium_SAF
478,chr1,71200000,71400000,0.0625,,Medium_SAF
479,chr1,71200000,71400000,0.0625,,Medium_SAF
483,chr1,71400000,71600000,0.07,,Medium_SAF
484,chr1,71400000,71600000,0.07,,Medium_SAF
485,chr1,71400000,71600000,0.07,,Medium_SAF
489,chr1,71600000,71800000,0.0825,,Medium_SAF
490,chr1,71600000,71800000,0.0825,,Medium_SAF
491,chr1,71600000,71800000,0.0825,,Medium_SAF
495,chr1,71800000,72000000,0.0885,,Medium_SAF
496,chr1,71800000,72000000,0.0885,,Medium_SAF
497,chr1,71800000,72000000,0.0885,,Medium_SAF
501,chr1,72200000,72400000,0.0945,,Medium_SAF
502,chr1,72200000,72400000,0.0945,,Medium_SAF
503,chr1,72200000,72400000,0.0945,,Medium_SAF
507,chr1,72400000,72600000,0.073,,Medium_SAF
508,chr1,72400000,72600000,0.073,,Medium_SAF
509,chr1,72400000,72600000,0.073,,Medium_SAF
513,chr1,72600000,72800000,0.0585,,Medium_SAF
514,chr1,72600000,72800000,0.0585,,Medium_SAF
515,chr1,72600000,72800000,0.0585,,Medium_SAF
519,chr1,72800000,73000000,0.0505,,Medium_SAF
520,chr1,72800000,73000000,0.0505,,Medium_SAF
521,chr1,72800000,73000000,0.0505,,Medium_SAF
525,chr1,73400000,73600000,0.05,,Medium_SAF
526,chr1,73400000,73600000,0.05,,Medium_SAF
527,chr1,73400000,73600000,0.05,,Medium_SAF
531,chr1,73600000,73800000,0.049,,Medium_SAF
532,chr1,73600000,73800000,0.049,,Medium_SAF
533,chr1,73600000,73800000,0.049,,Medium_SAF
537,chr1,73800000,74000000,0.0475,,Medium_SAF
538,chr1,73800000,74000000,0.0475,,Medium_SAF
539,chr1,73800000,74000000,0.0475,,Medium_SAF
