,chr,start,end,saf,gene_name,SAF_stratified_label
0,chr1,2800000,3000000,0.2055,,Medium_SAF
1,chr1,2800000,3000000,0.2055,,Medium_SAF
2,chr1,2800000,3000000,0.2055,,Medium_SAF
6,chr1,3200000,3400000,0.264,,Medium_SAF
7,chr1,3200000,3400000,0.264,,Medium_SAF
8,chr1,3200000,3400000,0.264,,Medium_SAF
12,chr1,4000000,4200000,0.2505,,Medium_SAF
13,chr1,4000000,4200000,0.2505,,Medium_SAF
14,chr1,4000000,4200000,0.2505,,Medium_SAF
18,chr1,4200000,4400000,0.232,,Medium_SAF
19,chr1,4200000,4400000,0.232,,Medium_SAF
20,chr1,4200000,4400000,0.232,,Medium_SAF
24,chr1,4800000,5000000,0.196,,Medium_SAF
25,chr1,4800000,5000000,0.196,,Medium_SAF
26,chr1,4800000,5000000,0.196,,Medium_SAF
30,chr1,5000000,5200000,0.228,,Medium_SAF
31,chr1,5000000,5200000,0.228,,Medium_SAF
32,chr1,5000000,5200000,0.228,,Medium_SAF
36,chr1,5200000,5400000,0.226,,Medium_SAF
37,chr1,5200000,5400000,0.226,,Medium_SAF
38,chr1,5200000,5400000,0.226,,Medium_SAF
42,chr1,5400000,5600000,0.2275,,Medium_SAF
43,chr1,5400000,5600000,0.2275,,Medium_SAF
44,chr1,5400000,5600000,0.2275,,Medium_SAF
48,chr1,5600000,5800000,0.2805,,Medium_SAF
49,chr1,5600000,5800000,0.2805,,Medium_SAF
50,chr1,5600000,5800000,0.2805,,Medium_SAF
54,chr1,6800000,7000000,0.461,,High_SAF
55,chr1,6800000,7000000,0.461,,High_SAF
56,chr1,6800000,7000000,0.461,,High_SAF
60,chr1,7000000,7200000,0.4185,,High_SAF
61,chr1,7000000,7200000,0.4185,,High_SAF
62,chr1,7000000,7200000,0.4185,,High_SAF
66,chr1,7400000,7600000,0.4035,,High_SAF
67,chr1,7400000,7600000,0.4035,,High_SAF
68,chr1,7400000,7600000,0.4035,,High_SAF
72,chr1,12400000,12600000,0.3445,,Medium_SAF
73,chr1,12400000,12600000,0.3445,,Medium_SAF
74,chr1,12400000,12600000,0.3445,,Medium_SAF
78,chr1,13000000,13200000,0.189,,Medium_SAF
79,chr1,13000000,13200000,0.189,,Medium_SAF
80,chr1,13000000,13200000,0.189,,Medium_SAF
84,chr1,14000000,14200000,0.2195,,Medium_SAF
85,chr1,14000000,14200000,0.2195,,Medium_SAF
86,chr1,14000000,14200000,0.2195,,Medium_SAF
90,chr1,14200000,14400000,0.237,,Medium_SAF
91,chr1,14200000,14400000,0.237,,Medium_SAF
92,chr1,14200000,14400000,0.237,,Medium_SAF
96,chr1,14600000,14800000,0.264,,Medium_SAF
97,chr1,14600000,14800000,0.264,,Medium_SAF
98,chr1,14600000,14800000,0.264,,Medium_SAF
102,chr1,14800000,15000000,0.2765,,Medium_SAF
103,chr1,14800000,15000000,0.2765,,Medium_SAF
104,chr1,14800000,15000000,0.2765,,Medium_SAF
108,chr1,17800000,18000000,0.5205,,High_SAF
109,chr1,17800000,18000000,0.5205,,High_SAF
110,chr1,17800000,18000000,0.5205,,High_SAF
114,chr1,18200000,18400000,0.4935,,High_SAF
115,chr1,18200000,18400000,0.4935,,High_SAF
116,chr1,18200000,18400000,0.4935,,High_SAF
120,chr1,20800000,21000000,0.5485,,High_SAF
121,chr1,20800000,21000000,0.5485,,High_SAF
122,chr1,20800000,21000000,0.5485,,High_SAF
126,chr1,22200000,22400000,0.4995,,High_SAF
127,chr1,22200000,22400000,0.4995,,High_SAF
128,chr1,22200000,22400000,0.4995,,High_SAF
132,chr1,22800000,23000000,0.55,,High_SAF
133,chr1,22800000,23000000,0.55,,High_SAF
134,chr1,22800000,23000000,0.55,,High_SAF
138,chr1,29400000,29600000,0.269,,Medium_SAF
139,chr1,29400000,29600000,0.269,,Medium_SAF
140,chr1,29400000,29600000,0.269,,Medium_SAF
144,chr1,29600000,29800000,0.229,,Medium_SAF
145,chr1,29600000,29800000,0.229,,Medium_SAF
146,chr1,29600000,29800000,0.229,,Medium_SAF
150,chr1,29800000,30000000,0.2545,,Medium_SAF
151,chr1,29800000,30000000,0.2545,,Medium_SAF
152,chr1,29800000,30000000,0.2545,,Medium_SAF
156,chr1,30000000,30200000,0.2395,,Medium_SAF
157,chr1,30000000,30200000,0.2395,,Medium_SAF
158,chr1,30000000,30200000,0.2395,,Medium_SAF
162,chr1,30200000,30400000,0.2605,,Medium_SAF
163,chr1,30200000,30400000,0.2605,,Medium_SAF
164,chr1,30200000,30400000,0.2605,,Medium_SAF
168,chr1,30400000,30600000,0.265,,Medium_SAF
169,chr1,30400000,30600000,0.265,,Medium_SAF
170,chr1,30400000,30600000,0.265,,Medium_SAF
174,chr1,33600000,33800000,0.345,,Medium_SAF
175,chr1,33600000,33800000,0.345,,Medium_SAF
176,chr1,33600000,33800000,0.345,,Medium_SAF
180,chr1,34200000,34400000,0.3255,,Medium_SAF
181,chr1,34200000,34400000,0.3255,,Medium_SAF
182,chr1,34200000,34400000,0.3255,,Medium_SAF
186,chr1,34400000,34600000,0.3025,,Medium_SAF
187,chr1,34400000,34600000,0.3025,,Medium_SAF
188,chr1,34400000,34600000,0.3025,,Medium_SAF
192,chr1,36600000,36800000,0.537,,High_SAF
193,chr1,36600000,36800000,0.537,,High_SAF
194,chr1,36600000,36800000,0.537,,High_SAF
198,chr1,36800000,37000000,0.5195,,High_SAF
199,chr1,36800000,37000000,0.5195,,High_SAF
200,chr1,36800000,37000000,0.5195,,High_SAF
204,chr1,38200000,38400000,0.486,,High_SAF
205,chr1,38200000,38400000,0.486,,High_SAF
206,chr1,38200000,38400000,0.486,,High_SAF
213,chr1,39200000,39400000,0.598,,High_SAF
214,chr1,39200000,39400000,0.598,,High_SAF
215,chr1,39200000,39400000,0.598,,High_SAF
219,chr1,41200000,41400000,0.3875,,High_SAF
220,chr1,41200000,41400000,0.3875,,High_SAF
221,chr1,41200000,41400000,0.3875,,High_SAF
225,chr1,41800000,42000000,0.3215,,Medium_SAF
226,chr1,41800000,42000000,0.3215,,Medium_SAF
227,chr1,41800000,42000000,0.3215,,Medium_SAF
231,chr1,47600000,47800000,0.1505,,Medium_SAF
232,chr1,47600000,47800000,0.1505,,Medium_SAF
233,chr1,47600000,47800000,0.1505,,Medium_SAF
237,chr1,48000000,48200000,0.1075,,Medium_SAF
238,chr1,48000000,48200000,0.1075,,Medium_SAF
239,chr1,48000000,48200000,0.1075,,Medium_SAF
243,chr1,48800000,49000000,0.0465,,Medium_SAF
244,chr1,48800000,49000000,0.0465,,Medium_SAF
245,chr1,48800000,49000000,0.0465,,Medium_SAF
249,chr1,49000000,49200000,0.034,,Medium_SAF
250,chr1,49000000,49200000,0.034,,Medium_SAF
251,chr1,49000000,49200000,0.034,,Medium_SAF
255,chr1,49200000,49400000,0.046,,Medium_SAF
256,chr1,49200000,49400000,0.046,,Medium_SAF
257,chr1,49200000,49400000,0.046,,Medium_SAF
261,chr1,49400000,49600000,0.0355,,Medium_SAF
262,chr1,49400000,49600000,0.0355,,Medium_SAF
263,chr1,49400000,49600000,0.0355,,Medium_SAF
267,chr1,49600000,49800000,0.0365,,Medium_SAF
268,chr1,49600000,49800000,0.0365,,Medium_SAF
269,chr1,49600000,49800000,0.0365,,Medium_SAF
273,chr1,49800000,50000000,0.048,,Medium_SAF
274,chr1,49800000,50000000,0.048,,Medium_SAF
275,chr1,49800000,50000000,0.048,,Medium_SAF
279,chr1,53600000,53800000,0.27,,Medium_SAF
280,chr1,53600000,53800000,0.27,,Medium_SAF
281,chr1,53600000,53800000,0.27,,Medium_SAF
285,chr1,55400000,55600000,0.0575,,Medium_SAF
286,chr1,55400000,55600000,0.0575,,Medium_SAF
287,chr1,55400000,55600000,0.0575,,Medium_SAF
291,chr1,55600000,55800000,0.0645,,Medium_SAF
292,chr1,55600000,55800000,0.0645,,Medium_SAF
293,chr1,55600000,55800000,0.0645,,Medium_SAF
297,chr1,55800000,56000000,0.0495,,Medium_SAF
298,chr1,55800000,56000000,0.0495,,Medium_SAF
299,chr1,55800000,56000000,0.0495,,Medium_SAF
303,chr1,56000000,56200000,0.048,,Medium_SAF
304,chr1,56000000,56200000,0.048,,Medium_SAF
305,chr1,56000000,56200000,0.048,,Medium_SAF
309,chr1,56200000,56400000,0.0555,,Medium_SAF
310,chr1,56200000,56400000,0.0555,,Medium_SAF
311,chr1,56200000,56400000,0.0555,,Medium_SAF
315,chr1,57000000,57200000,0.0615,,Medium_SAF
316,chr1,57000000,57200000,0.0615,,Medium_SAF
317,chr1,57000000,57200000,0.0615,,Medium_SAF
321,chr1,57400000,57600000,0.0595,,Medium_SAF
322,chr1,57400000,57600000,0.0595,,Medium_SAF
323,chr1,57400000,57600000,0.0595,,Medium_SAF
327,chr1,57600000,57800000,0.0585,,Medium_SAF
328,chr1,57600000,57800000,0.0585,,Medium_SAF
329,chr1,57600000,57800000,0.0585,,Medium_SAF
333,chr1,58200000,58400000,0.057,,Medium_SAF
334,chr1,58200000,58400000,0.057,,Medium_SAF
335,chr1,58200000,58400000,0.057,,Medium_SAF
339,chr1,58800000,59000000,0.048,,Medium_SAF
340,chr1,58800000,59000000,0.048,,Medium_SAF
341,chr1,58800000,59000000,0.048,,Medium_SAF
345,chr1,59400000,59600000,0.0355,,Medium_SAF
346,chr1,59400000,59600000,0.0355,,Medium_SAF
347,chr1,59400000,59600000,0.0355,,Medium_SAF
351,chr1,59600000,59800000,0.036,,Medium_SAF
352,chr1,59600000,59800000,0.036,,Medium_SAF
353,chr1,59600000,59800000,0.036,,Medium_SAF
357,chr1,60200000,60400000,0.0195,,Low_SAF
358,chr1,60200000,60400000,0.0195,,Low_SAF
359,chr1,60200000,60400000,0.0195,,Low_SAF
363,chr1,60400000,60600000,0.022,,Low_SAF
364,chr1,60400000,60600000,0.022,,Low_SAF
365,chr1,60400000,60600000,0.022,,Low_SAF
369,chr1,61000000,61200000,0.0385,,Medium_SAF
370,chr1,61000000,61200000,0.0385,,Medium_SAF
371,chr1,61000000,61200000,0.0385,,Medium_SAF
375,chr1,61400000,61600000,0.047,,Medium_SAF
376,chr1,61400000,61600000,0.047,,Medium_SAF
377,chr1,61400000,61600000,0.047,,Medium_SAF
381,chr1,61800000,62000000,0.0985,,Medium_SAF
382,chr1,61800000,62000000,0.0985,,Medium_SAF
383,chr1,61800000,62000000,0.0985,,Medium_SAF
390,chr1,62800000,63000000,0.136,,Medium_SAF
391,chr1,62800000,63000000,0.136,,Medium_SAF
392,chr1,62800000,63000000,0.136,,Medium_SAF
396,chr1,63000000,63200000,0.126,,Medium_SAF
397,chr1,63000000,63200000,0.126,,Medium_SAF
398,chr1,63000000,63200000,0.126,,Medium_SAF
402,chr1,64000000,64200000,0.0955,,Medium_SAF
403,chr1,64000000,64200000,0.0955,,Medium_SAF
