gene_id	gene_name	gene_type	strand	TPM.H1	FPKM.H1	SPIN.H1	TPM.HFF	FPKM.HFF	SPIN.HFF
ENSG00000000003.14	TSPAN6	protein_coding	-	31.22	27.32	Interior_Repr2	10.25	8.25	Interior_Repr2
ENSG00000000005.5	TNMD	protein_coding	+	1.12	0.98	Interior_Repr2	0	0	Interior_Repr2
ENSG00000000419.12	DPM1	protein_coding	-	30.59	26.77	Interior_Act2	22.76	18.32	Speckle
ENSG00000000457.13	SCYL3	protein_coding	-	2.85	2.49	Lamina	3.14	2.53	Interior_Act3
ENSG00000000460.16	C1orf112	protein_coding	+	17.81	15.58	Lamina	1.9	1.53	Interior_Act3
ENSG00000000938.12	FGR	protein_coding	-	0.12	0.11	Speckle	0.04	0.04	Speckle
ENSG00000000971.15	CFH	protein_coding	+	0.04	0.03	Lamina	23.65	19.03	Lamina
ENSG00000001036.13	FUCA2	protein_coding	-	25.33	22.16	Interior_Act3	29.08	23.41	Interior_Act3
ENSG00000001084.12	GCLC	protein_coding	-	28.97	25.35	Interior_Repr1	6.6	5.31	Interior_Act3
ENSG00000001167.14	NFYA	protein_coding	+	18.12	15.86	Interior_Act2	5.63	4.53	Interior_Repr1
ENSG00000001460.17	STPG1	protein_coding	-	5.51	4.82	Speckle	4.9	3.95	Speckle
ENSG00000001461.16	NIPAL3	protein_coding	+	5.89	5.15	Speckle	21.4	17.22	Speckle
ENSG00000001497.16	LAS1L	protein_coding	-	34.89	30.53	Near_Lm1	16.89	13.59	Interior_Repr1
ENSG00000001561.6	ENPP4	protein_coding	+	2.38	2.08	Interior_Repr2	0	0	Near_Lm2
ENSG00000001617.11	SEMA3F	protein_coding	+	19.84	17.37	Speckle	4.17	3.36	Speckle
ENSG00000001626.15	CFTR	protein_coding	+	0.66	0.57	Lamina	0	0	Lamina
ENSG00000001629.9	ANKIB1	protein_coding	+	23.1	20.22	Interior_Act3	15.03	12.1	Interior_Act1
ENSG00000001630.16	CYP51A1	protein_coding	-	59.86	52.38	Interior_Act3	8.13	6.55	Interior_Act1
ENSG00000001631.15	KRIT1	protein_coding	-	15.45	13.52	Interior_Act3	26.05	20.96	Interior_Act1
ENSG00000002016.17	RAD52	protein_coding	-	7.69	6.73	Speckle	19.85	15.97	Interior_Act1
ENSG00000002330.13	BAD	protein_coding	-	12.41	10.86	Speckle	38.55	31.03	Speckle
ENSG00000002549.12	LAP3	protein_coding	+	27.35	23.94	Interior_Repr1	12.43	10	Interior_Repr1
ENSG00000002586.19	CD99	protein_coding	+	25.66	22.45	Speckle	438.93	353.25	Speckle
ENSG00000002587.9	HS3ST1	protein_coding	-	0.83	0.73	Near_Lm2	0	0	Near_Lm2
ENSG00000002726.20	AOC1	protein_coding	+	0.08	0.07	Interior_Act2	0	0	Interior_Repr1
ENSG00000002745.12	WNT16	protein_coding	+	0.28	0.24	Interior_Act3	0	0	Interior_Act3
ENSG00000002746.14	HECW1	protein_coding	+	6.84	5.99	Interior_Act1	6.03	4.85	Interior_Act1
ENSG00000002822.15	MAD1L1	protein_coding	-	21.71	19	Speckle	12.01	9.67	Speckle
ENSG00000002834.17	LASP1	protein_coding	+	96.82	84.72	Speckle	160.72	129.35	Speckle
ENSG00000002919.14	SNX11	protein_coding	+	11.35	9.93	Speckle	6.31	5.07	Interior_Act2
ENSG00000002933.8	TMEM176A	protein_coding	+	0.69	0.61	Interior_Act2	0	0	Interior_Repr1
ENSG00000003056.7	M6PR	protein_coding	-	57.14	50	Speckle	47.96	38.59	Near_Lm1
ENSG00000003096.14	KLHL13	protein_coding	-	6.87	6.01	Lamina	0	0	Interior_Repr2
ENSG00000003137.8	CYP26B1	protein_coding	-	0.37	0.32	Interior_Act2	1.55	1.25	Interior_Act2
ENSG00000003147.18	ICA1	protein_coding	-	19.92	17.43	Interior_Act3	0.14	0.11	Interior_Repr2
ENSG00000003249.13	DBNDD1	protein_coding	-	37.51	32.82	Interior_Act2	1.05	0.85	Speckle
